img,model_name,price,rating,specs_score,generation,core_and_thread,ram,rom,graphic_card,size_and_resolution,os,warranty
https://cdn1.smartprix.com/rx-i0l6m8Gyi-w280-h280/lenovo-ideapad-slim.webp,Lenovo IdeaPad Slim 3 82XM00G1IN Laptop (AMD Ryzen 5 7530U/ 8GB/ 512GB SSD/ Win11 Home),"₹44,091",4.6,50Spec Score,7th Gen AMD Ryzen 5 7530U,"Hexa Core, 12 Threads",8 GB RAM,512 GB SSD,AMD Radeon Graphics,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iRW2h5mtR-w280-h280/acer-aspire-lite-al1.webp,Acer Aspire Lite AL15-53 Laptop (Intel Core i3 1305U / 8GB/ 512GB SSD/ Win11),"₹29,990",4.4,52Spec Score,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iQYWmZBaS-w280-h280/acer-15-alg-al15g-53.webp,Acer 15 ALG ‎AL15G-53 Gaming Laptop (13th Gen Intel Core i7/ 16GB/ 1TB SSD/ Win11/ 6GB RTX 3050 Graphics),"₹73,990",4.65,64Spec Score,13th Gen Intel Core i7 13620H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-irGgpFgbD-w280-h280/acer-aspire-3-a324-5.webp,Acer Aspire 3 A324-53 UN.34RSI.009 Laptop (13th Gen Core i3/ 16GB/ 512GB SSD/ Win11),"₹33,990",4.45,48Spec Score,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-id2XRyvZr-w280-h280/dell-inspiron-7640-l.webp,Dell Inspiron 7640 Laptop (Intel Core i5-13420H/ 16GB/ 512GB SSD/ Win11),"₹72,490",4.7,51Spec Score,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB sLPDDR5 RAM,512 GB SSD,Intel Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-izuhiiNsA-w280-h280/apple-2024-macbook-a.webp,Apple 2024 MacBook Air 15 Laptop (Apple M3/ 16GB/ 256GB SSD/ MacOS),"₹1,04,994",4.35,56Spec Score,Apple M3,Octa Core (4P + 4E),16 GB DDR4 RAM,256 GB SSD,10-Core GPU,"15.3 inches, 2880 x 1864 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-ipnNdCX0f-w280-h280/apple-macbook-air-15.webp,Apple MacBook Air 15 2024 Laptop (Apple M3/ 24GB/ 512GB SSD/ MacOS),"₹1,67,990",4.1,60Spec Score,Apple M3,Octa Core (4P + 4E),24 GB RAM,512 GB SSD,10-Core GPU,"15.3 inches, 2880 x 1864 pixels",Mac OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iIIK67scl-w280-h280/lenovo-ideapad-3-82r.webp,Lenovo IdeaPad 3 82RK017RIN Laptop (12th Gen Core i3/ 16GB/ 512GB SSD/ Win11 Home),"₹33,950",4.0,51Spec Score,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",16 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,"15.6 inches, 1920 x 1080 pixels",Windows 11 OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iAYGpldsX-w280-h280/lenovo-v14-g4-82yta0.webp,Lenovo V14 G4 82YTA00TIN Laptop (AMD Ryzen 3 7320U / 8GB/ 512GB SSD/ DOS),"₹27,990",4.1,43Spec Score,7th Gen AMD Ryzen 3 7320U,"Quad Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon,"14 inches, 1920 x 1080 pixels",DOS OS,1 Year Warranty
https://cdn1.smartprix.com/rx-iJ15Wuiaf-w280-h280/dell-inspiron-16-plu.webp,Dell Inspiron 16 Plus 7640 Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11),"₹76,490",4.05,53Spec Score,Intel Core Ultra 5 Series 1 125H,"14 Cores (4P + 8E + 2LP-E), 18 Threads",16 GB LPDDR5X RAM,512 GB SSD,Intel Graphics,"16 inches, 1920 x 1200 pixels",Windows 11 OS,1 Year Warranty
