Laptop_Brand,OS,CPU_Power,Generation,RAM_size,RAM_technology,Capacity(in GB),Storage_Type,GPU_Brand,GPU_Type,Touch_Screen,screen_size_category,Display_quality,warranty_group,Performance per price
Lenovo,Windows 11 ,96.0,12th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009702940737423496
Lenovo,Windows 11 ,128.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014651503523337751
HP,Windows 11 ,128.0,7th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007091553777616147
Asus,Windows 11 ,48.0,13th Gen,12.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013253313328332084
Infinix,Windows 11 ,72.0,5th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.002104173853052777
Dell,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.00098187985361064
Lenovo,Windows 11 ,256.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,low,0.0006298486826945234
Acer,Windows 11 ,32.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Full HD,low,0.001918238993710692
HP,Windows 11 ,72.0,7th Gen,8.0,DDR5,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014525884650188122
Lenovo,Windows 11 ,32.0,7th Gen,8.0,LPDDR5,512,SSD,AMD,Integrated,0,Medium,Standard HD,low,0.0019020781965480803
HP,Windows 11 ,160.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009125114063925799
Dell,Windows 11 ,30.0,13th Gen,16.0,RAM,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.001238938053097345
Motorola,Windows 11 ,196.0,Intel Core Ultra,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,High Resolution,low,0.0009078319741498692
Acer,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001325333140557604
HP,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009475109038953226
Lenovo,Windows 11 ,256.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,high,0.0003448275862068965
Asus,Windows 11 ,96.0,Intel Core,32.0,DDR4,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007878787878787879
HP,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008452535760728218
Lenovo,Windows 11 ,128.0,7th Gen,24.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009972930616896994
Samsung,Windows 11 ,,Intel Core Ultra,16.0,LPDDR5X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0006923964610847544
Motorola,Windows 11 ,96.0,Intel Core,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,High Resolution,low,0.0009334889148191366
HP,Windows 11 ,128.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.001250028409736585
HP,Windows 11 ,32.0,7th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0017364125716270186
Lenovo,Windows 11 ,128.0,7th Gen,24.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007701358434057118
Asus,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008796240510904928
Acer,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.001127477723222404
Acer,Windows 11 ,48.0,12th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0017005668556185395
HP,Windows 11 ,160.0,13th Gen,24.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0005907671533462739
Asus,Windows 11 ,256.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0006667340135367209
Asus,Windows 11 ,32.0,7th Gen,16.0,LPDDR5,512,SSD,AMD,Integrated,0,Medium,Standard HD,low,0.0016368596544407397
HP,Windows 11 ,120.0,13th Gen,24.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0008361429534726905
Acer,Windows 11 ,120.0,Intel Core,32.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0009638116021094744
HP,Windows 11 ,72.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008117118422959849
Acer,Windows 11 ,160.0,13th Gen,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008359456635318704
HP,Windows 11 ,160.0,14th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0008000888987665296
HP,Windows 11 ,48.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001435206930744742
Asus,Windows 11 ,48.0,13th Gen,8.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001333675301359323
