Laptop_Brand,OS,CPU_Power,Generation,RAM_size,RAM_technology,Capacity(in GB),Storage_Type,GPU_Brand,GPU_Type,Touch_Screen,screen_size_category,Display_quality,warranty_group,Performance per price
Acer,Windows 11 ,252.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0010346611484738748
HP,Windows 11 ,160.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.000808942491542874
Alienware,Windows 11 ,160.0,Intel Core,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.0005454958708993106
Dell,Windows 11 ,128.0,AMD Ryzen,16.0,LPDDR5X,1024,SSD,AMD,Dedicated,1,Medium,Full HD,low,0.000527972382983044
Acer,Windows 11 ,128.0,7th Gen,16.0,DDR4,1024,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0013063890589916308
HP,Windows 11 ,72.0,8th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.001196785775346213
Asus,Windows 11 ,196.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0009316344704754076
Lenovo,Chrome ,4.0,Intel Celeron,4.0,LPDDR4X,64,eMMC Storage,Intel,Integrated,0,Small,Standard HD,low,0.002100061766522545
Asus,Windows 11 ,128.0,AMD Ryzen,16.0,LPDDR5X,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00035137034434293746
Asus,Windows 11 ,384.0,14th Gen,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00047780432246235903
Asus,Windows 11 ,,8th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00047649861756573917
HP,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013769810340348142
Acer,Windows 11 ,72.0,7th Gen,16.0,DDR4,1024,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014753688422105527
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009203702720402131
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009203702720402131
HP,Windows ,120.0,13th Gen,16.0,RAM,1024,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0007809847198641766
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010180389355242008
Lenovo,Windows 11 ,96.0,13th Gen,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009514912462805342
HP,Windows 11 ,252.0,Intel Core Ultra,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.000855196405276127
HP,Windows 11 ,120.0,13th Gen,16.0,LPDDR5X,512,SSD,Intel,Integrated,1,Medium,Standard HD,low,0.0007911628601283774
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0008770580089244499
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0009525321479599936
Asus,Windows 11 ,160.0,13th Gen,32.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.000955366472607852
Asus,Windows 11 ,48.0,13th Gen,8.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.001500394840747565
HP,Windows 11 ,384.0,13th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0005441576586513714
Asus,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009673717002787343
Motorola,Windows 11 ,160.0,Intel Core,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,High Resolution,low,0.0008334490901514099
Motorola,Windows 11 ,160.0,Intel Core,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,High Resolution,low,0.000867774672745992
Lenovo,Chrome ,,MediaTek Kompanio,4.0,LPDDR4X,32,eMMC Storage,ARM,Integrated,0,Small,Standard HD,low,
HP,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008520120592476078
Lenovo,Windows 11 ,72.0,5th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014757554462403373
HP,Windows 11 ,,AMD Athlon,8.0,RAM,256,SSD,AMD,Integrated,0,Medium,Standard HD,low,0.0013422818791946308
Asus,Windows 11 ,32.0,7th Gen,8.0,LPDDR5,512,SSD,AMD,Integrated,0,Medium,Standard HD,low,0.0016852039096730705
Samsung,Windows 11 ,64.0,Intel Core Ultra,16.0,LPDDR5X,512,SSD,Intel,Integrated,1,Medium,Standard HD,low,0.000561021221237499
Samsung,Windows 11 ,64.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,low,0.00039287718761161285
Apple,Mac ,,Apple M4,16.0,RAM,512,SSD,Apple,Integrated,0,Medium,High Resolution,low,0.0003663272034581288
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,1024,SSD,Intel,Integrated,1,Medium,Full HD,low,0.0008355488036460311
Lenovo,Windows 11 ,96.0,12th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010347302191291577
HP,Windows 11 ,120.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010790620460676488
HP,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000885840834404915
HP,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009840296822068075
Asus,Windows 11 ,256.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,low,0.0006529465245061575
Asus,Windows 11 ,196.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0009156219185800817
Asus,Windows 11 ,96.0,5th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000805299389531108
Asus,Windows 11 ,256.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,low,0.0006231248557581352
Asus,Windows 11 ,196.0,Intel Core Ultra,16.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,low,0.0007347688539646903
Acer,Windows 11 ,4.0,Intel Celeron,8.0,DDR4,256,SSD,Intel,Integrated,0,Small,Standard HD,low,0.0023346303501945525
HP,Windows ,72.0,7th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.00169548999660902
Acer,Windows 11 ,72.0,6th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.001007311129163282
Acer,Windows 11 ,30.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0017339113037679226
Lenovo,Windows 11 ,48.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0015338345864661653
Acer,Windows 11 ,32.0,7th Gen,8.0,LPDDR4X,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0017247326664367024
Acer,Windows 11 ,72.0,5th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0016236590316033633
Asus,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.001079414032382421
Acer,Windows 11 ,128.0,7th Gen,16.0,LPDDR4X,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.001262205286973089
Acer,Windows 11 ,72.0,7th Gen,8.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0015718776793369534
Acer,Windows 11 ,160.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008751215446589804
Asus,Windows 11 ,128.0,8th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0006818801709246295
Acer,Windows 11 ,96.0,12th Gen,12.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0012224938875305623
Thomson,Windows 11 ,4.0,Intel Celeron,4.0,LPDDR4,128,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.002147878156730018
Asus,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0011067368654049867
Colorful,Windows 11 ,96.0,12th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0006600066000660007
Dell,Windows 11 ,48.0,12th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0017277963019096695
Lenovo,Windows 11 ,128.0,7th Gen,24.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008235972374195522
Asus,Windows 11 ,72.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0011001833638939822
Infinix,Windows 11 ,252.0,Intel Core Ultra,16.0,LPDDR5X,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010911074740861974
Asus,Windows 11 ,128.0,8th Gen,16.0,LPDDR5X,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00042857142857142855
Lenovo,Windows 11 ,128.0,8th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008094023727685996
HP,Windows 11 ,128.0,7th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Standard HD,low,0.0006445618235239953
MSI,Windows 11 ,96.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0010071942446043165
Acer,Windows 11 ,96.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0011011675872194644
Infinix,Windows 11 ,280.0,13th Gen,32.0,LPDDR5X,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000493366224414961
HP,Windows 11 ,96.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.000991013689426388
Acer,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008434751174840342
MSI,Windows 11 ,560.0,14th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0007334031812553576
Ultimus,Windows 11 ,4.0,Intel Celeron,4.0,DDR4,128,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.003085904920767306
MSI,Windows 11 ,72.0,7th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.001150191698616436
HP,Windows 11 ,352.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,NVIDIA,Dedicated,1,Medium,High Resolution,low,0.0005256491450284991
Ultimus,Windows 11 ,4.0,Intel Celeron,8.0,DDR4,256,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.002801867911941294
HP,Windows 11 ,96.0,12th Gen,16.0,DDR4,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010967918837400603
HP,Windows 11 ,72.0,7th Gen,8.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0012021857923497268
HP,Windows 11 ,160.0,12th Gen,16.0,DDR4,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0008908406524466751
Asus,Windows 11 ,280.0,12th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009001125140642581
Apple,Mac ,,Apple M3,8.0,RAM,256,SSD,Apple,Integrated,0,Small,High Resolution,low,0.0005232923227201897
Asus,Windows 11 ,160.0,12th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0010914477274499104
Infinix,Windows 11 ,280.0,13th Gen,32.0,LPDDR5X,1024,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0007894767394610661
‎HP,Windows 11 ,128.0,6th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.00105288490463871
Dell,Windows 11 ,30.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0014627696981630988
Acer,Windows 11 ,384.0,13th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00046252890805675357
HP,Windows 11 ,120.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,1,Medium,Standard HD,low,0.0009607776647451113
Huawei,Windows 10 ,32.0,10th Gen,8.0,DDR4,512,SSD,Intel,Integrated,1,Medium,Full HD,low,0.0013651403317985146
Asus,Windows 11 ,280.0,12th Gen,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.0005402385644387964
Dell,Windows 10 ,32.0,11th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0006222222222222223
HP,Windows 10 ,32.0,8th Gen,8.0,DDR4,512,SSD,Unknown,Integrated,0,Medium,Full HD,high,0.0005495109352676119
Asus,Windows 11 ,196.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008422160810632978
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009181833087391376
Asus,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.000855196405276127
HP,Windows 11 ,,AMD Ryzen,16.0,LPDDR5X,512,SSD,AMD,Dedicated,0,Small,High Resolution,low,0.0005485776980308346
MSI,Windows 11 ,256.0,Intel Core Ultra,32.0,LPDDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,high,0.00048002743013886507
Asus,Windows 11 ,,Qualcomm Snapdragon,16.0,LPDDR5X,512,SSD,AMD,Dedicated,0,Medium,High Resolution,low,0.0007942344462420944
Asus,Windows 11 ,196.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0009316344704754076
Lenovo,Chrome ,4.0,Intel Celeron,4.0,LPDDR4X,64,eMMC Storage,Intel,Integrated,0,Small,Standard HD,low,0.0024303073624017154
Asus,Windows 11 ,256.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.000819474572186069
Lenovo,Windows 11 ,4.0,Intel Celeron,8.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.00143383065297423
Lenovo,Windows 11 ,96.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001165071166430416
Lenovo,Windows 11 ,32.0,7th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009042334566378956
Asus,Windows 11 ,128.0,5th Gen,16.0,RAM,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0011959121548162643
Lenovo,Windows 11 ,72.0,5th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014289060669946123
Lenovo,Windows 11 ,252.0,Intel Core Ultra,16.0,LPDDR5X,1024,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0006228290813271051
Asus,Windows 11 ,576.0,Intel Core Ultra,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.0004702956916590086
Asus,Windows 11 ,128.0,7th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009852216748768472
Asus,Windows 11 ,96.0,5th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007442725898360275
Asus,Windows 11 ,128.0,AMD Ryzen,16.0,LPDDR5X,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00036113117395410855
Asus,Windows 11 ,512.0,8th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.000442451057639857
Asus,Windows 11 ,384.0,14th Gen,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00047780432246235903
Asus,Windows 11 ,,8th Gen,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00047649861756573917
Asus,Windows 11 ,576.0,Intel Core Ultra,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.0003956693769294317
MSI,Windows 11 ,120.0,12th Gen,16.0,DDR4,1024,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011202240448089618
HP,Windows 11 ,128.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0010352693454992103
HP,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013600205286117527
MSI,Windows 11 ,,AMD Ryzen,16.0,RAM,1024,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0005875734466808351
Lenovo,Windows 11 ,32.0,7th Gen,24.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009847668872134175
Lenovo,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0008206180279523016
Asus,Windows 11 ,64.0,Intel Core,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0015584415584415584
Asus,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001143090426617677
HP,Windows 11 ,72.0,5th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.00100040338846309
Lenovo,Windows 11 ,96.0,12th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009563948776138758
Lenovo,Windows 11 ,96.0,12th Gen,12.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009673717002787343
Asus,Windows 11 ,120.0,13th Gen,8.0,RAM,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0010302197802197802
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008668111351891982
MSI,Windows 11 ,352.0,Intel Core Ultra,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0007683863885839736
HP,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0012345679012345679
Lenovo,D,120.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.000752212389380531
Lenovo,Windows 11 ,64.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,High Resolution,low,0.0005641438933255184
Acer,Windows 11 ,72.0,5th Gen,16.0,DDR4,1024,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0015737530008002134
Lenovo,Windows 11 ,72.0,7th Gen,8.0,DDR5,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0013407107895296872
Acer,Windows 11 ,80.0,Intel Core Ultra,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0009638116021094744
HP,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013984168865435356
HP,Windows 11 ,120.0,13th Gen,16.0,LPDDR5X,512,SSD,Intel,Integrated,1,Medium,Standard HD,low,0.0008155100784736114
Acer,Windows 11 ,72.0,7th Gen,16.0,DDR4,1024,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014753688422105527
Lenovo,Windows 11 ,48.0,12th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001382393599811759
Lenovo,Windows 11 ,64.0,Intel Core Ultra,16.0,RAM,1024,SSD,Intel,Integrated,1,Medium,Full HD,low,0.0006024654740939846
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0008965671821927965
Lenovo,Windows 11 ,352.0,Intel Core Ultra,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,Full HD,high,0.0005245167889082183
HP,Windows 11 ,160.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007647958583362749
Lenovo,Windows 11 ,64.0,Intel Core Ultra,16.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,Full HD,low,0.000653081216771942
MSI,Windows 11 ,252.0,Intel Core Ultra,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0007500781331388686
MSI,Windows 11 ,352.0,Intel Core Ultra,16.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0006727884353123011
HP,Windows 11 ,128.0,5th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0012043274137579097
HP,Windows 11 ,48.0,13th Gen,8.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001315068493150685
Lenovo,Windows 11 ,352.0,Intel Core Ultra,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,Full HD,high,0.0004706189947055363
Lenovo,Windows 11 ,168.0,Intel Core Ultra,32.0,RAM,1024,SSD,Intel,Integrated,1,Medium,Full HD,low,0.00035714455783122776
Lenovo,Windows 11 ,64.0,Intel Core Ultra,32.0,LPDDR5X,1024,SSD,Intel,Integrated,1,Medium,Full HD,low,0.0005965435564523204
HP,Windows 11 ,120.0,13th Gen,32.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.000920353982300885
HP,Windows ,120.0,13th Gen,16.0,RAM,1024,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0008394160583941605
Asus,Windows 11 ,96.0,13th Gen,16.0,RAM,512,SSD,Intel,Integrated,1,Medium,Full HD,low,0.0006322565812162317
Lenovo,Windows 11 ,168.0,Intel Core Ultra,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.000892012434112718
Acer,Windows 11 ,128.0,7th Gen,32.0,RAM,1024,SSD,AMD,Dedicated,0,Medium,Full HD,low,0.0010001470804530078
Asus,Windows 11 ,96.0,13th Gen,16.0,DDR4,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0009704179057755517
Lenovo,Windows 11 ,72.0,7th Gen,16.0,RAM,512,SSD,AMD,Dedicated,0,Medium,Full HD,low,0.0010771992818671453
Acer,Windows 11 ,120.0,13th Gen,16.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001180236047209442
Lenovo,Windows 11 ,120.0,12th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0012774162448782839
Alienware,Windows 11 ,768.0,14th Gen,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Large,Full HD,low,0.00025116710802915724
Acer,Windows 11 ,120.0,13th Gen,32.0,DDR4,1024,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0008533333333333333
Asus,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0014448457904973604
HP,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010557510650120393
MSI,Windows 11 ,72.0,7th Gen,16.0,RAM,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,high,0.0009001285897985426
Lenovo,Windows 11 ,96.0,13th Gen,16.0,LPDDR5,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0009168194699116519
HP,Windows 11 ,120.0,13th Gen,12.0,RAM,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0010039370078740158
HP,Windows 11 ,252.0,Intel Core Ultra,16.0,DDR5,1024,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.000855196405276127
HP,Windows 11 ,48.0,13th Gen,12.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013674347936186377
Asus,Windows 11 ,288.0,AMD Ryzen,32.0,LPDDR5X,2048,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.0002857244901603629
Asus,Windows 11 ,288.0,AMD Ryzen,16.0,LPDDR5X,1024,SSD,NVIDIA,Dedicated,1,Small,High Resolution,low,0.00031001550077503875
Asus,Windows 11 ,576.0,Intel Core Ultra,32.0,DDR5,1024,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00035770606561790836
Acer,Windows 11 ,120.0,12th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0011907597046915933
Asus,Windows 11 ,576.0,Intel Core Ultra,32.0,DDR5,2048,SSD,NVIDIA,Dedicated,0,Medium,High Resolution,low,0.00025676369631611666
Acer,Windows 11 ,120.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0012124038237351364
Lenovo,Windows 11 ,,Qualcomm Snapdragon,16.0,LPDDR5X,1024,SSD,Qualcomm,Integrated,0,Medium,Full HD,low,0.000558905721429622
Lenovo,Windows 11 ,120.0,12th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0010001923446816695
Acer,Windows 11 ,72.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Standard HD,low,0.0014189346359618515
HP,Windows 11 ,48.0,Intel Core,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.001305918310641845
HP,Windows 11 ,48.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0013962934755013963
Dell,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0007595898214963919
Lenovo,Windows 11 ,252.0,Intel Core Ultra,16.0,LPDDR5X,1024,SSD,Intel,Integrated,0,Medium,Full HD,low,0.0006544017779972837
Asus,Windows 11 ,48.0,13th Gen,8.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0014448457904973604
Lenovo,D,72.0,7th Gen,16.0,DDR4,512,SSD,AMD,Dedicated,0,Medium,Full HD,low,0.001153846153846154
HP,Windows 11 ,120.0,13th Gen,16.0,LPDDR5X,512,SSD,Intel,Integrated,1,Medium,Standard HD,low,0.0007911628601283774
Asus,Windows 11 ,120.0,13th Gen,16.0,DDR4,512,SSD,Intel,Integrated,0,Medium,Standard HD,low,0.0012002667259390976
Dell,Windows 11 ,352.0,Intel Core Ultra,16.0,LPDDR5X,1024,SSD,Intel,Integrated,0,Small,High Resolution,low,0.0005831191935165052
Asus,Windows 11 ,160.0,13th Gen,16.0,DDR5,512,SSD,NVIDIA,Dedicated,0,Medium,Standard HD,low,0.0007369196757553427
MSI,Windows 11 ,768.0,14th Gen,64.0,DDR5,4096,SSD,NVIDIA,Dedicated,0,Large,High Resolution,high,0.0002150823743320251
